entry,rootWrd,fonetik,index,pos,label,def,exp,asal,passive,diaLan,domain,sinonim,references,keep,reason,category
A2,A2,ej,1,kata nama,,huruf yg lazimnya digunakan utk sesuatu yg tidak diketahui,Cari nilai A dalam rajah ini.,,,,,,,False,单字符/符号,symbol
A2,A2,ej,2,kata nama,,yg pertama dalam sesuatu kumpulan atau jenis,Korea diletakkan dalam kumpulan A bersama-sama dengan Belgium dan Great Britain. influenza A; / hepatitis A;,,,,,,,False,单字符/符号,symbol
A2,A2,ej,3,kata nama,,"tahap tertinggi dari segi pemarkahan, kualiti dan lain-lain",Dia mendapat A dalam Biologi. buah salak gred A;,,,,,,,False,单字符/符号,symbol
A2,A2,ej,4,kata nama,,rujukan kepada sso atau sesuatu yg namanya tidak mahu disebut,Mak masih tidak tahu yg A suami orang.,,,,,,,False,单字符/符号,symbol
A.,A.,,,,singkatan bagi,"Abdul. A. digunakan pada pangkal nama lelaki, biasanya bergabung dengan salah satu nama Allah",A. Rahman Hassan.,,,,,,,False,缩写标记,abbreviation
a.kata nama.,a.kata nama.,,,,singkatan bagi,"atas nama. a.s. singkatan bagi alaihissalam. Singkatan ini digunakan atau ditulis biasanya sesudah menyebut nama nabi. dan malaikat, misainya Nabi Daud a.s. dan Jibril a.s",,,,,,,,False,缩写标记,abbreviation
a/k,a/k,,,,singkatan bagi,"anak kepada. Singkatan ini digunakan oleh kaum peribumi di Sarawak, diletakkan di antara nama diri dengan nama bapa tetapi sudah jarang digunakan",Muyang a / k Lintung..,,,,,,,False,缩写标记,abbreviation
a/I,a/I,,,,singkatan bagi,"anak lelaki (kepada). Singkatan ini digunakan oleh orang bukan Melayu, terutamanya India, Sikh dan Orang Asli, diletakkan di antara nama diri dengan nama bapa",Muniandy a / l Doraisamy; / Ranjit Singh a / l Harnam Singh; / Radin a / l Bah Long.,,,,,,,False,元数据条目,meta
a/p,a/p,,,,singkatan bagi,"anak perempuan (kepada). Singkatan ini digunakan oleh orang bukan Melayu, terutamanya India, Sikh dan Orang Asli, diletakkan di antara nama diri dengan nama bapa","Saroja a / p Balakrishnan; / Baljit Kaur a / p Jaswant Singh, / Wah Aton a / p Bah Said.",,,,,,,False,缩写标记,abbreviation
AA,AA,,,,singkatan bagi; kata arkaik,Asia-Afrika.,,,,,,,,False,元数据条目,meta
aaa...,aaa...,,1,,bahasa basahan,"digunakan utk menyatakan persetujuan, rasa ragu-ragu, hairan atau terlupa akan sesuatu, ataupun utk memberikan amaran dan lain-lain","Nama bukunya aaa..., nanti saya cuba ingatKan! / Aaa..., ya, ya mereka itu,"" tingkah Sang Nila.",,,,,,,False,拟声词,interjection
aaa...,aaa...,,2,,bahasa basahan,digunakan utk menjawab panggilan yg membawa maksud ya atau saya,"""Buyung!"" teriak a ayah. ""Aaa...,"" jawabnya.",,,,,,,False,拟声词,interjection
AB,AB,,1,,simbol bagi,jenis darah daripada kumpulan ABO yg mengandungi antigen A dan B;,,,,,Biologi,,,False,元数据条目,meta
AB,AB,,2,,singkatan bagi,"Anggaran Belanja. AB ialah perkiraan atau perhitungan secara kasar ttg sesuatu jumlah wang yg akan digunakan utk melaksanakan sesuatu tugas, projek dan lain-lain atau utk menampung sesuatu keperluan..",,,,,,,,False,元数据条目,meta
Ab.,Ab.,,,,singkatan bagi,"Abdul. Ab. digunakan pada pangkal nama lelaki, biasanya bergabung dengan salah satu nama Allah",Ab. Malik; / b. Aziz..,,,,,,,False,元数据条目,meta
abah2,abah2,abah,1,kata nama,bahasa basahan,lelaki yg merupakan bapa sso,Abah Ali bekerja di hospita / . Dia sempat mencium dahi abah dengan penuh kasih sayang.,"<-- abafh daripada MPP aba: Wolio abha, Bima aba; . Austronesia Pruba aba: Atayal aba",,,,,,False,拟声词,interjection
abah2,abah2,abah,2,kata nama,bahasa basahan,panggilan kepada bapa sso oleh anaknya,"""Minumlah kopi itu abah,"" pu juk Atirah.","<-- abafh daripada MPP aba: Wolio abha, Bima aba; . Austronesia Pruba aba: Atayal aba",,,,,,False,拟声词,interjection
abah2,abah2,abah,3,kata nama,bahasa basahan,panggilan kepada diri sendiri apabila bercakap dengan anaknya,"""Jangan bimbangkan abah, akhirnya bapa bersuara lirih.","<-- abafh daripada MPP aba: Wolio abha, Bima aba; . Austronesia Pruba aba: Atayal aba",,,,,,False,拟声词,interjection
abang mantu,abang ipar,,,,,,,,,Jakarta,,,,False,无有效定义,incomplete
ABC2,ABC2,,,,singkatan bagi,air batu campur.,,,,,,,,False,元数据条目,meta
ABC,ABC,,,,,3 singkatan bagi Asia Badminton Championship (Kejohanan Badminton Asia). ABC ialah kejohanan yg dikelolakan oleh Konfederasi Badminton Asia yg bertujuan utk mengiktiraf pemain badminton terbaik pada peringkat Asia.,,,,,,,,False,元数据条目,meta
Abd.,Abd.,,,,singkatan bagi,"Abdul. Abd. digunakan pada pangkal nama lelaki, biasanya bergabung dengan salah satu nama Allah",Abd. Rahim; / Abd. Majid.,,,,,,,False,元数据条目,meta
abece,abece,abe-t$e,2,kata nama,bahasa basahan,"urutan membuat atau mempelajari sesuatu mengikut tahap-tahapnya, misainya belajar membaca bermula daripada mengenal abjad, mengeja dan membaca..",,daripada Belanda abese,,Indonesia,,,,False,拟声词,interjection
abit,abit,abit,,,,,,,,Sarawak,,,,False,无有效定义,incomplete
mengabit,abit,marabit|menabit,4,kata nama,,;,,,,,,,,False,无有效定义,incomplete
abrit,abrit,abrit,,,,,,,,Jakarta,,,,False,无有效定义,incomplete
absen,absen,absen,,kata kerja tak transitif,bahasa basahan,"tidak hadir ke sekolah. pejabat, mesyuarat dan sebagainya",Aku tahulah Laila absen hari ni.,daripada Ing absent daripada Latin absent-,,,,,,False,拟声词,interjection
mengabsenkan,absen,menab.senkan|men ab.senkan,1,kata kerja transitif,bahasa basahan,mengisikan senarai kehadiran bagi (pihak orang lain yg tidak hadir);,,,,Indonesia,,,,False,拟声词,interjection
